@relation obj6-train

@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute a4 numeric
@attribute a5 numeric
@attribute a6 numeric
@attribute a7 numeric
@attribute a8 numeric
@attribute a9 numeric
@attribute a10 numeric
@attribute a11 numeric
@attribute a12 numeric
@attribute a13 numeric
@attribute a14 numeric
@attribute a15 numeric
@attribute a16 numeric
@attribute a17 numeric
@attribute a18 numeric
@attribute a19 numeric
@attribute a20 numeric
@attribute a21 numeric
@attribute a22 numeric
@attribute a23 numeric
@attribute a24 numeric
@attribute a25 numeric
@attribute a26 numeric
@attribute a27 numeric
@attribute a28 numeric
@attribute a29 numeric
@attribute a30 numeric
@attribute a31 numeric
@attribute a32 numeric
@attribute a33 numeric
@attribute a34 numeric
@attribute a35 numeric
@attribute a36 numeric
@attribute a37 numeric
@attribute a38 numeric
@attribute a39 numeric
@attribute a40 numeric
@attribute a41 numeric
@attribute a42 numeric
@attribute a43 numeric
@attribute a44 numeric
@attribute a45 numeric
@attribute a46 numeric
@attribute a47 numeric
@attribute a48 numeric
@attribute a49 numeric
@attribute a50 numeric
@attribute a51 numeric
@attribute a52 numeric
@attribute clase {false,true}

@data
0.001338,0.001722,0.001257,0.001139,0.001416,0.002432,0.002858,0.003431,0.004447,0.005703,0.006826,0.009437,0.01012,0.028584,0.024238,0.01946,0.019284,0.011706,0.012305,0.007995,0.00513,0,0.004134,0.002822,0.002757,0.002331,0.002396,0.002839,0.000911,0.000876,0.000817,0.000452,0.000391,0,0.000283,0.00027,0.00028,0.000277,0.00029,0.00027,0.000368,0.000729,0.001146,0.001686,0,0.139928,0.362893,0.239017,0.091665,0.086775,0.025044,0.054679,true
0.000039,0.000518,0.00054,0.000472,0.000501,0.000452,0.000654,0.000745,0.000768,0.000827,0.000908,0.001094,0.001149,0.008682,0.010775,0.012018,0.014561,0.007161,0.005758,0.003607,0.003389,0,0.003942,0.003864,0.004053,0.005283,0.006449,0.010251,0.007272,0.008086,0.00778,0.000505,0.000137,0,0.000033,0.000029,0.000013,0.000029,0.000013,0.000046,0.00001,0.000055,0.000023,0.00002,0,0.301812,0.418203,0.115624,0.056646,0.024633,0.018191,0.064891,false
0.003503,0.0071,0.004056,0.002992,0.002406,0.001237,0.00126,0.001071,0.000729,0.0007,0.000762,0.000645,0.000661,0.001266,0.001143,0.000898,0.00109,0.002445,0.003356,0.004935,0.005645,0,0.004782,0.004063,0.004414,0.004958,0.006185,0.008802,0.003916,0.004196,0.006357,0.007656,0.001152,0,0.000596,0.000459,0.000176,0.000033,0.00001,0,0.000003,0.000033,0.000033,0.000029,0,0.06192,0.730307,0.029672,0.177808,0.000293,0,0,true
0.000007,0.000062,0.000205,0.000615,0.001061,0.003112,0.004437,0.00528,0.008021,0.010579,0.011361,0.011807,0.01124,0.011673,0,0.011331,0.014163,0.00819,0.005879,0.004128,0.003424,0.002891,0.002884,0.003109,0.003213,0.003454,0.004137,0.004157,0.000098,0.000117,0.000146,0,0.000173,0.000156,0.000088,0.000052,0.000065,0.000049,0.000029,0.000055,0.000078,0.000449,0.000498,0.001038,0.680387,0.005828,0.004366,0.309418,0,0,0,0,false
0.000065,0.001097,0.006442,0.01193,0.022015,0.006816,0.007845,0.005908,0.004779,0.003545,0.00347,0.003311,0.003561,0.002842,0.002002,0.001553,0.001468,0.001123,0.001204,0.002266,0.002839,0,0.004919,0.008529,0.010247,0.012611,0.009762,0.002148,0.003005,0.00263,0.003734,0.006504,0.002832,0,0.001914,0.001937,0.00154,0.000768,0.000495,0.000641,0.000599,0.001305,0.001478,0.007204,0.14494,0.172098,0.172896,0.232231,0.094367,0.125356,0.055846,0.002268,false
0.000007,0.000039,0.000098,0.000345,0.000811,0.001963,0.002695,0.003389,0.003949,0.003574,0.003682,0.003079,0.00278,0.003154,0.003245,0.00291,0.00262,0.001517,0.000924,0.000687,0.000618,0,0.000469,0.000618,0.000843,0.001279,0.001715,0.007734,0.002197,0.002093,0.002262,0.007119,0.004316,0,0.001523,0.001292,0.001419,0.001471,0.005469,0.005915,0.006312,0.002783,0.00278,0.003877,0.594417,0.18924,0.199025,0.017318,0,0,0,0,false
0.000472,0.001383,0.001266,0.001667,0.003216,0.002773,0.003304,0.002939,0.001589,0.001191,0.001243,0.001152,0.001335,0.002165,0.001986,0.00166,0.001585,0.002233,0.002412,0.001312,0.001276,0,0.00194,0.000807,0.000778,0.00083,0.000911,0.001227,0.004222,0.004674,0.004792,0.003122,0.018812,0,0.015182,0.007357,0.00748,0.003405,0.003118,0.00098,0.000052,0.000101,0.000091,0.000133,0,0.20887,0.79113,0,0,0,0,0,false
0.000618,0.001436,0.001273,0.003271,0.005286,0.005999,0.006911,0.007793,0.007591,0.008597,0.008073,0.005944,0.004958,0.00557,0.005436,0.004873,0.006833,0.008307,0.008112,0.0114,0.014818,0,0.01972,0.01474,0.015,0.014108,0.011576,0.01138,0.001592,0.001641,0.001755,0.000557,0.00042,0,0.000267,0.000254,0.000244,0.00026,0.000296,0.000299,0.000316,0.006888,0.003265,0.004163,0,0.250282,0.331857,0.277585,0.054619,0.039528,0.019944,0.026184,true
0.000013,0.000042,0.00002,0.000046,0.000091,0.000413,0.000775,0.001136,0.001937,0.004001,0.005101,0.005358,0.005758,0.023503,0.017061,0.014515,0.012461,0.007484,0.007002,0.007354,0.00903,0.007822,0.006784,0.004613,0.003916,0.002513,0.00179,0.000527,0.001556,0.001569,0.001576,0.000342,0.000352,0.000514,0.000293,0.000498,0.000684,0.00083,0.001032,0.001198,0.00098,0.001732,0.002858,0.003587,0,0,0.015179,0.662769,0.24737,0.005318,0.032077,0.037287,false
0.000339,0.002165,0.001868,0.001924,0.003363,0.000693,0.000439,0.000319,0.000277,0.000221,0.000283,0.00028,0.000397,0.005286,0.006283,0.007044,0.009421,0.002725,0.001611,0.001563,0.00154,0,0.001722,0.001598,0.001797,0.001966,0.002139,0.002581,0.014144,0.014954,0.014574,0.003167,0.001006,0,0.00012,0.000088,0.000078,0.000052,0.000039,0.000039,0.000046,0.000098,0.000127,0.000153,0,0.451623,0.233039,0.109997,0.065254,0.029649,0.103908,0.00653,true
0.001201,0.012793,0.010833,0.013659,0.011882,0.005898,0.007243,0.006237,0.003805,0.003314,0.003011,0.002048,0.001748,0.001367,0.001488,0.001234,0.001283,0.001432,0.001484,0.001416,0.001315,0,0.001706,0.001764,0.001732,0.001589,0.001299,0.002676,0.003965,0.003564,0.00679,0.00363,0.004411,0,0.002969,0.002165,0.002178,0.000251,0.000124,0.000143,0.000228,0.003096,0.001481,0.001676,0,0.020739,0.144705,0.440344,0.394212,0,0,0,false
0.000713,0.003252,0.003978,0.00445,0.007018,0.00612,0.005218,0.004196,0.00208,0.001504,0.001393,0.001813,0.002031,0.00194,0.001885,0.001888,0.002139,0.001885,0.002181,0.003255,0.003499,0,0.003288,0.003229,0.003171,0.003262,0.003467,0.006081,0.007354,0.007884,0.011836,0.011595,0.000557,0,0.000452,0.000775,0.000736,0.000612,0.000498,0.000752,0.000781,0.000625,0.000843,0.001426,0,0.262178,0.553801,0.03539,0.024682,0.055152,0.068137,0.000659,true
0.011637,0,0.019297,0,0.005514,0.002246,0,0.001484,0.000993,0.000853,0,0,0.00068,0.001087,0.001146,0.001296,0.001416,0,0,0.004163,0,0.004961,0,0.005,0,0,0,0.003024,0.00238,0,0.004098,0.005283,0.022116,0.022897,0,0.015143,0,0,0,0,0.001081,0.000016,0.00001,0,0,0.830676,0.169324,0,0,0,0,0,false
0.004137,0.020579,0.021396,0.019258,0.021875,0.014108,0.011279,0.011016,0.011273,0.009066,0.008229,0.006211,0.004821,0.003571,0.003451,0.003216,0.003512,0.004417,0.005596,0.004564,0.004427,0,0.005202,0.00637,0.006807,0.007669,0.008402,0.01181,0.004622,0.004593,0.004701,0.000117,0.000016,0,0.000029,0.000013,0.00002,0.000013,0.000023,0.000013,0.000049,0.000065,0.000094,0.00015,0.1396,0.467283,0.002997,0.180223,0.048384,0.124044,0.000016,0.037452,false
0.000078,0.000511,0.000833,0.000719,0.00096,0.001006,0.001312,0.001602,0.00137,0.001536,0.00167,0.001748,0.001387,0.001143,0.001012,0.000807,0.001055,0.001029,0.001452,0.001484,0.001725,0,0.002594,0.00251,0.002738,0.001689,0.001563,0.002334,0.00474,0.005908,0.012432,0.003184,0.005788,0,0.014736,0.009232,0.006882,0.005358,0.000007,0,0.00001,0.000013,0.000007,0.000033,0.060862,0.024944,0.808146,0.008642,0.001219,0.010775,0.048513,0.0369,true
0.000003,0.000059,0.000215,0.000924,0.002008,0.001032,0.001107,0.001237,0.001312,0.001989,0.002503,0.003734,0.003581,0.005046,0,0.005732,0.006576,0.011266,0.013066,0.016198,0.019398,0.012025,0.011029,0.00766,0.007923,0.006569,0.00571,0.006992,0.002259,0.002145,0.002285,0,0.001497,0.001159,0.001042,0.001162,0.000902,0.001162,0.00096,0.001022,0.001276,0.00068,0.000059,0.00002,0,0,0.211027,0.194465,0.28485,0.276871,0.000695,0.032092,true
0.00304,0.007975,0.008896,0.010335,0.012565,0.010573,0.010179,0.010723,0.009017,0.007907,0.007917,0.008298,0.008089,0.015703,0.014941,0.01196,0.010602,0.004977,0.005638,0.00734,0.006693,0,0.006305,0.006292,0.006211,0.00596,0.006032,0.003496,0.00195,0.002116,0.001982,0.001117,0.000768,0,0.000716,0.000625,0.000635,0.000602,0.000485,0.000524,0.000736,0.00112,0.001696,0.003092,0,0.13962,0.216822,0.335449,0.121682,0.05684,0.073994,0.055593,true
0.000072,0.000531,0.000938,0.001471,0.002601,0.003011,0.003086,0.00292,0.002152,0.001875,0.001839,0.002406,0.00166,0.001702,0.00235,0.002734,0.002487,0.001969,0.002819,0.00151,0.001602,0,0.001859,0.0018,0.001966,0.002279,0.002725,0.013037,0.006416,0.006875,0.009932,0.007262,0.000996,0,0.000391,0.000485,0.000254,0.00015,0.000023,0.000023,0.000003,0.000007,0.00002,0.000029,0.03743,0.724574,0.190468,0.047515,0.000012,0,0,0,false
0.000277,0.000257,0.000189,0.000368,0.00084,0.002126,0.003812,0.004183,0.004632,0.003776,0.004167,0.004349,0.004258,0.005758,0.005459,0.004372,0.00499,0.011204,0.014831,0.013311,0.012826,0,0.011143,0.011195,0.010179,0.010566,0.010189,0.01252,0.001292,0.001452,0.000592,0.00138,0.00554,0,0.003258,0.0007,0.000026,0.000036,0.000013,0.000036,0.000029,0.000039,0.000052,0.000075,0,0.660899,0.339101,0,0,0,0,0,false
0.000016,0.000101,0.000124,0.00013,0.000182,0.000264,0.000319,0.000306,0.000199,0.000218,0.000264,0.000212,0.000283,0.00041,0.000452,0.000495,0.000449,0.000527,0.000612,0.000758,0.000833,0,0.000762,0.000687,0.000752,0.000771,0.000892,0.002119,0.013301,0.01265,0.012646,0.003047,0.013568,0,0.002559,0.002005,0.001419,0.001214,0.0007,0.000648,0.000762,0.000436,0.000599,0.000944,0,0.955633,0.044367,0,0,0,0,0,false
0.000228,0.000882,0.000602,0.000833,0.000863,0.00096,0.001006,0.001729,0.002555,0.00291,0.004183,0.005941,0.005918,0.007074,0.006722,0.005049,0.006016,0.002171,0.006667,0.015124,0.012969,0,0.024759,0.012275,0.01363,0.004163,0.004388,0.000309,0.00026,0.000332,0.000374,0.007285,0.004886,0,0.006094,0.008294,0.005296,0.003018,0.001774,0.001647,0.001536,0.001331,0.002028,0.001927,0.378942,0.16544,0.287494,0.168123,0,0,0,0,false
0.000072,0.000218,0.000651,0.002113,0.002464,0.006807,0.024225,0.024036,0.012204,0.004967,0.004004,0.00291,0.002809,0.003519,0.005407,0.008021,0.016025,0.01373,0.011771,0.008923,0.00832,0,0.009235,0.010273,0.012943,0.010586,0.010296,0.006618,0.001195,0.001081,0.001178,0.000596,0.000443,0,0.000329,0.000319,0.000299,0.000306,0.000426,0.000609,0.000771,0.006488,0.003457,0.004766,0.035648,0.347,0.170621,0.199533,0.105811,0.066512,0.05901,0.015865,true
0.000521,0.001598,0.001143,0.001823,0.003079,0.002523,0.002767,0.002487,0.001488,0.001354,0.00125,0.001211,0.001234,0.00252,0.002171,0.001481,0.001725,0.002067,0.001673,0.001035,0.00097,0,0.001234,0.000732,0.000771,0.000658,0.000775,0.001419,0.004049,0.004326,0.004434,0.00264,0.019346,0,0.016624,0.007184,0.007331,0.003773,0.003678,0.000573,0.000036,0.000085,0.000111,0.000101,0,0.26792,0.73208,0,0,0,0,0,false
0.058294,0.070313,0.039284,0,0.030293,0.027295,0.026468,0,0.029958,0.029697,0.029434,0.03109,0.032959,0.015882,0.015732,0.015355,0.013665,0.005648,0.003639,0.002389,0,0.002093,0,0.001849,0.001774,0,0.0014,0.001283,0,0.000407,0.000332,0.000378,0.000059,0.000039,0.000046,0.000046,0,0,0.000016,0.000003,0,0,0.000003,0.000003,0,1,0,0,0,0,0,0,false
0.001979,0.008633,0.006777,0.004043,0.002972,0.002132,0.002926,0.003356,0.003021,0.00347,0.003975,0.003193,0.002614,0.001631,0.001504,0.001497,0.001872,0.003018,0.003099,0.002839,0.003346,0,0.004167,0.004128,0.004046,0.004115,0.00486,0.00682,0.006439,0.006354,0.007015,0.004131,0.001491,0,0.000876,0.001813,0.003193,0.003535,0.00276,0.00418,0.004043,0.002106,0.001032,0.000944,0.002993,0.093274,0.332985,0.123447,0.447301,0,0,0,false
0.00208,0.007126,0.003753,0.002243,0.002666,0.001859,0.001471,0.001322,0.001061,0.000791,0.000866,0.000921,0.001025,0.001312,0.001045,0.000954,0.001068,0.000505,0.000505,0.000596,0.000537,0.000645,0.000726,0.000885,0.001191,0.001419,0.001602,0.003783,0.013255,0.013691,0.016016,0.001126,0.001449,0.001595,0.001641,0.002054,0.002119,0.001462,0.000658,0.000397,0.000169,0.000007,0.000013,0,0,0.137798,0.119047,0.138454,0.573118,0.031583,0,0,false
0.001803,0.008643,0.004837,0.002262,0.001501,0.000833,0.000811,0.001012,0.000814,0.000859,0.000827,0.00083,0.000895,0.00165,0.001934,0.002064,0.002819,0.008525,0.007676,0.003717,0.003724,0,0.005163,0.004398,0.004105,0.003721,0.003548,0.002757,0.000703,0.000599,0.000544,0.002708,0.00849,0,0.008298,0.007363,0.006797,0.006107,0.005358,0.005465,0.003509,0.001615,0.001882,0.002975,0,0.795077,0.126291,0.078612,0.000019,0,0,0,false
0.00193,0.034821,0,0.043304,0.046644,0,0.050993,0.033783,0,0.021986,0.015303,0.012738,0.0118,0,0.013454,0,0.011504,0.006787,0.007129,0.006084,0.005618,0.005075,0.004674,0.004932,0.005166,0.005023,0.005212,0.004707,0.005241,0.005013,0.005088,0.000342,0,0.000042,0.000029,0.000026,0.000029,0.000029,0.000013,0,0,0.000003,0,0.000003,1,0,0,0,0,0,0,0,false
0.000003,0.000055,0.000143,0.000176,0.000316,0.000579,0.000625,0.000729,0.001012,0.001797,0.002308,0.002188,0.001953,0.004375,0.006152,0.004372,0.005007,0.00555,0.00763,0.007438,0.006201,0,0.005137,0.004521,0.00445,0.004766,0.004502,0.005049,0.007103,0.006875,0.00696,0.007194,0.001471,0,0.001172,0.001146,0.001038,0.001019,0.000456,0.000387,0.000273,0.000247,0.000186,0.000368,0,0,0.01427,0.827854,0.115789,0.02075,0.015942,0.005394,false
0.000192,0.001211,0.001807,0.001676,0.001924,0.001911,0.002077,0.002474,0.001908,0.002985,0.003545,0.003682,0.003402,0.002031,0.002256,0.001995,0.002454,0.005658,0.006566,0.005479,0.008301,0.009251,0.009137,0.014141,0.014495,0.012529,0.01154,0.010378,0.003099,0.003089,0.006338,0.004043,0.000091,0.000111,0.000101,0.000114,0.000169,0.000081,0.000023,0.000042,0.000039,0.000365,0.000238,0.000153,0,0.093713,0.667108,0.220025,0.010003,0.009151,0,0,false
0.000632,0.005488,0.008063,0.011465,0.018454,0.013763,0.015156,0.015618,0.015488,0.014577,0.013486,0.015299,0.012653,0.007897,0.009059,0.008096,0.010166,0.012422,0.012767,0.011351,0.009564,0,0.006995,0.006077,0.005843,0.00598,0.005947,0.004434,0.002503,0.002598,0.00181,0.000137,0.000013,0,0.000013,0.000007,0.00001,0.000013,0.000026,0.000007,0.000026,0.000023,0.00002,0.000023,0,0.00098,0.197641,0.527187,0.12339,0.066108,0.039532,0.045162,false
0.144574,0.256569,0,0.156025,0.107965,0.088066,0.042591,0.026602,0.021387,0,0.015856,0.007949,0,0,0.001667,0.001735,0.001576,0,0,0.000518,0.000553,0.000446,0,0,0.000446,0.000443,0.000469,0.000397,0.000436,0,0,0,0.000205,0.000192,0.000104,0.000072,0.000046,0,0,0.000003,0.000013,0.000003,0,0.000003,0.628998,0.371002,0,0,0,0,0,0,false
0.011875,0.00888,0.001888,0.001175,0.000889,0.000511,0.000391,0.000355,0.000361,0.000283,0.000299,0.000267,0.000257,0.000212,0.000195,0.000195,0.000205,0.000583,0.001113,0.006784,0.005817,0,0.003193,0.002796,0.003317,0.003262,0.003786,0.00292,0.004707,0.005059,0.005921,0.004993,0.005586,0,0.007122,0.008216,0.006689,0.005781,0.004079,0.0046,0.004072,0.000811,0.001133,0.002227,0.442922,0.060081,0.456054,0.040943,0,0,0,0,false
0.00002,0.000127,0.000153,0.00015,0.000231,0.000234,0.000176,0.000199,0.00012,0.000182,0.000241,0.000231,0.000205,0.000176,0.00016,0.000173,0.000208,0.000752,0.001361,0.002122,0.002474,0.003421,0.003698,0.004681,0.005423,0.005413,0.006019,0.009085,0.012471,0.012331,0.010898,0.003711,0.001038,0.000505,0.000596,0.000413,0.00012,0.000052,0.000049,0.000023,0.00002,0.000026,0.00001,0.000003,0,0.087521,0.781559,0.04508,0.037496,0.013446,0.015546,0.019352,false
0.000046,0.000645,0.00028,0.000212,0.000488,0.000599,0.000993,0.001351,0.000671,0.000492,0.000573,0.000583,0.000641,0.001686,0.001572,0.002057,0.004287,0.000739,0.000967,0.001123,0.001322,0.001589,0.001585,0.001621,0.001628,0.00139,0.001611,0.005612,0.011908,0.014193,0.015475,0.001559,0.002744,0.002913,0.003226,0.003561,0.003464,0.003229,0.00266,0.002152,0.001504,0.000003,0,0.000003,0,0.360326,0.639674,0,0,0,0,0,false
0.000036,0.000173,0.000371,0.000452,0.000566,0.000479,0.000645,0.00056,0.000615,0.000485,0.000387,0.000472,0.000306,0.000407,0.000361,0.000348,0.000361,0.001019,0.002122,0.003177,0.00333,0,0.002985,0.003258,0.003219,0.003708,0.003783,0.006989,0.011051,0.011068,0.012038,0.003441,0.00026,0,0.000104,0.000065,0.000088,0.000072,0.000033,0.000029,0.000046,0.000049,0.000052,0.000036,0,0.155131,0.323673,0.256985,0.125216,0.062924,0.037391,0.038681,false
0.000023,0.000078,0.000072,0.000059,0.000078,0.000153,0,0.00013,0.000156,0.000335,0.000495,0.000371,0.000332,0.000052,0.000078,0.000088,0.000078,0.000153,0.000146,0.00015,0.000169,0.000228,0.00027,0.000283,0.000374,0.000485,0.000807,0.003975,0.002751,0.002656,0.001615,0.003799,0.005827,0.007702,0.011208,0.011081,0.010228,0.012702,0,0.011172,0.004854,0.000007,0.00001,0.000007,0,1,0,0,0,0,0,0,false
0.000114,0.000579,0.000671,0.00111,0.001706,0.003408,0.004678,0.005049,0.005329,0.006341,0.008477,0.008799,0.006992,0.004922,0.004593,0.004128,0.004531,0.00499,0.006243,0.008854,0.010488,0,0.026878,0.022611,0.023262,0.019561,0.017217,0.00874,0.001348,0.001328,0.001038,0.000827,0.000615,0,0.000462,0.000381,0.000238,0.000205,0.000231,0.000267,0.000658,0.004108,0.001995,0.003102,0,0.245913,0.293673,0.280245,0.091776,0.029039,0.017714,0.041639,false
0.001276,0.004066,0.0039,0.003763,0.004063,0.002728,0.002936,0.002904,0.002995,0.003161,0.003177,0.003555,0.003203,0.007077,0.00707,0.007425,0.008285,0.008128,0.00849,0.007894,0.007949,0,0.006934,0.007048,0.006908,0.006924,0.007507,0.010371,0.005404,0.005251,0.005107,0.00027,0.000221,0,0.00015,0.000189,0.000046,0.000029,0.000059,0.000029,0.000062,0.000049,0.000049,0.000059,0,0,0.074788,0.278253,0.365859,0.207684,0.073248,0.000167,false
0.001243,0.008083,0.006055,0.003965,0.003275,0.001836,0.001514,0.001475,0.001191,0.001839,0.002087,0.001999,0.001563,0.001152,0.001344,0.001123,0.001299,0.001344,0.001592,0.002389,0.002845,0,0.002786,0.002751,0.002845,0.003424,0.003939,0.008356,0.012562,0.011364,0.007227,0.003415,0.001156,0,0.002057,0.002972,0.011592,0.002562,0.000924,0.000638,0.000518,0.000807,0.001038,0.001699,0.000709,0.402857,0.150163,0.434227,0.012043,0,0,0,false
0.000173,0.000612,0.000745,0.000934,0.000934,0.000667,0.000781,0.000576,0.000618,0.000697,0.000843,0.000768,0.000837,0.001185,0.001432,0.001309,0.001351,0.0014,0.00167,0.001865,0.002314,0,0.002979,0.003704,0.003854,0.004167,0.004342,0.012705,0.006068,0.005768,0.007044,0.002676,0.001559,0,0.000996,0.000827,0.000553,0.000423,0.00028,0.000306,0.00057,0.000452,0.001143,0.00123,0,0.577093,0.422907,0,0,0,0,0,false
0.000091,0.000446,0.000605,0.000534,0.000531,0.000371,0.000397,0.000361,0.000384,0.000358,0.000475,0.000449,0.000394,0.000924,0.000944,0.000785,0.000843,0.00113,0.001315,0.003311,0.00443,0,0.002467,0.001292,0.001172,0.001152,0.001344,0.005527,0.009544,0.00915,0.008724,0.00375,0.002282,0,0.001367,0.001087,0.000452,0.00027,0.000199,0.000228,0.000264,0.000579,0.001019,0.001901,0.348154,0.555673,0.096173,0,0,0,0,0,false
0.000052,0.000534,0.000859,0.001803,0.003532,0.005146,0.006715,0.007881,0.009395,0.010908,0.015033,0.012383,0.009492,0.0046,0.004945,0.003831,0.004736,0.005036,0.006523,0.009362,0.010094,0,0.017572,0.023265,0.023893,0.018997,0.012949,0.005661,0.001087,0.001064,0.000827,0.001403,0.001051,0,0.000632,0.000651,0.000368,0.000316,0.000335,0.000439,0.000732,0.003203,0.003014,0.003239,0,0.258974,0.376772,0.208125,0.055407,0.027837,0.020393,0.052491,false
