@relation 'obj1-train-weka.filters.unsupervised.attribute.Remove-V-R1-5,8-9,11,13,16-19,21-22,25-28,31-34,36,39-40,42,45,47-48,51-52,55,59-64,66-67,69-70,72,79-82,85,87-88,93,97,100-101,103-104,107,130,147,152-153,158,163,173,186-187,192,198,204-206,215,220,224,229,234,237,239,245,250,252,256-258,261-265'

@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute a4 numeric
@attribute a5 numeric
@attribute a8 numeric
@attribute a9 numeric
@attribute a11 numeric
@attribute a13 numeric
@attribute a16 numeric
@attribute a17 numeric
@attribute a18 numeric
@attribute a19 numeric
@attribute a21 numeric
@attribute a22 numeric
@attribute a25 numeric
@attribute a26 numeric
@attribute a27 numeric
@attribute a28 numeric
@attribute a31 numeric
@attribute a32 numeric
@attribute a33 numeric
@attribute a34 numeric
@attribute a36 numeric
@attribute a39 numeric
@attribute a40 numeric
@attribute a42 numeric
@attribute a45 numeric
@attribute a47 numeric
@attribute a48 numeric
@attribute a51 numeric
@attribute a52 numeric
@attribute a55 numeric
@attribute a59 numeric
@attribute a60 numeric
@attribute a61 numeric
@attribute a62 numeric
@attribute a63 numeric
@attribute a64 numeric
@attribute a66 numeric
@attribute a67 numeric
@attribute a69 numeric
@attribute a70 numeric
@attribute a72 numeric
@attribute a79 numeric
@attribute a80 numeric
@attribute a81 numeric
@attribute a82 numeric
@attribute a85 numeric
@attribute a87 numeric
@attribute a88 numeric
@attribute a93 numeric
@attribute a97 numeric
@attribute a100 numeric
@attribute a101 numeric
@attribute a103 numeric
@attribute a104 numeric
@attribute a107 numeric
@attribute a130 numeric
@attribute a147 numeric
@attribute a152 numeric
@attribute a153 numeric
@attribute a158 numeric
@attribute a163 numeric
@attribute a173 numeric
@attribute a186 numeric
@attribute a187 numeric
@attribute a192 numeric
@attribute a198 numeric
@attribute a204 numeric
@attribute a205 numeric
@attribute a206 numeric
@attribute a215 numeric
@attribute a220 numeric
@attribute a224 numeric
@attribute a229 numeric
@attribute a234 numeric
@attribute a237 numeric
@attribute a239 numeric
@attribute a245 numeric
@attribute a250 numeric
@attribute a252 numeric
@attribute a256 numeric
@attribute a257 numeric
@attribute a258 numeric
@attribute a261 numeric
@attribute a262 numeric
@attribute a263 numeric
@attribute a264 numeric
@attribute clase {false,true}

@data
0.001338,0.001722,0.001257,0.001139,0.001416,0.002858,0.003431,0.004447,0.005703,0.009437,0.01012,0.011387,0.014225,0.019993,0.021019,0.023854,0.027441,0.030094,0.029648,0.028584,0.027516,0.024238,0.021449,0.019766,0.01679,0.015417,0.013512,0.01304,0.011829,0.011706,0.011676,0.012305,0.01013,0.006084,0.00513,0.005023,0.00485,0.004489,0.003965,0.004134,0.003604,0.002822,0.002757,0.002331,0.002474,0.002396,0.00249,0.002562,0.002839,0.002852,0.002669,0.002334,0.001667,0.001361,0.001367,0.001243,0.001165,0.001051,0.000729,0.000589,0.000423,0.000462,0.00043,0.0004,0.000306,0.000391,0.000394,0,0.000332,0.00027,0.000273,0.000326,0.000273,0.000296,0.00029,0.000247,0.000251,0.000264,0.00027,0.000352,0.000407,0.000729,0.02125,0,0.139928,0.091665,0.086775,0.025044,0.054679,false
0.000039,0.000518,0.00054,0.000472,0.000501,0.000654,0.000745,0.000768,0.000827,0.001094,0.001149,0.001188,0.001237,0.001862,0.002246,0.003158,0.004189,0.005407,0.006536,0.008682,0.010589,0.010775,0.010859,0.013538,0.012038,0.010817,0.010182,0.007549,0.007767,0.007161,0.006556,0.005758,0.004378,0.003333,0.003389,0.00321,0.003535,0.003467,0.00346,0.003942,0.003743,0.003864,0.004053,0.005283,0.011663,0.01266,0.014063,0.013079,0.010251,0.011009,0.01179,0.012139,0.009863,0.009027,0.009489,0.009967,0.009795,0.010664,0.012103,0.000651,0.000609,0.000612,0.000443,0.000482,0.000273,0.000137,0.00014,0,0.00001,0.000029,0.000026,0.00001,0.000029,0.000033,0.00002,0.000016,0.000023,0.000013,0.000046,0.000013,0.000029,0.000055,0.000326,0,0.301812,0.056646,0.024633,0.018191,0.064891,false
0.003503,0.0071,0.004056,0.002992,0.002406,0.00126,0.001071,0.000729,0.0007,0.000645,0.000661,0.000557,0.000622,0.000553,0.000632,0.001064,0.001032,0.001016,0.001152,0.001266,0.001204,0.001143,0.001038,0.001019,0.001302,0.00126,0.00127,0.001699,0.001979,0.002445,0.003066,0.003356,0.004118,0.005632,0.005645,0.006156,0.005443,0.005111,0.004902,0.004782,0.004453,0.004063,0.004414,0.004958,0.007816,0.00818,0.008353,0.008278,0.008802,0.009085,0.00873,0.011429,0.010605,0.007096,0.006188,0.005469,0.004694,0.004189,0.006618,0.010726,0.013743,0.014785,0.006637,0.008851,0.009189,0.001152,0.001283,0,0.000518,0.000459,0.00042,0.000361,0.000098,0.000016,0.000003,0.00001,0.00001,0.000007,0,0.00001,0.000023,0.000033,0.000199,0,0.06192,0.177808,0.000293,0,0,false
0.000007,0.000062,0.000205,0.000615,0.001061,0.004437,0.00528,0.008021,0.010579,0.011807,0.01124,0.012191,0.012995,0.012565,0.011885,0.012145,0.012197,0.012044,0.011117,0.011673,0.010983,0,0.010967,0.012454,0.017301,0.017152,0.017493,0.011608,0.009271,0.00819,0.006097,0.005879,0.004294,0.003473,0.003424,0.003444,0.003151,0.002907,0.003044,0.002884,0.002881,0.003109,0.003213,0.003454,0.005251,0.005026,0.00513,0.005052,0.004157,0.003844,0.00402,0.004128,0,0.001504,0.000794,0.000475,0.000326,0.000186,0.000251,0.000833,0.001113,0.00112,0.001064,0.000745,0.000332,0.000173,0.00014,0.000156,0.000088,0.000052,0.000081,0.000062,0.000065,0.000052,0,0.000059,0.000101,0.000072,0.000055,0.000091,0.000182,0.000449,0.270609,0.680387,0.005828,0,0,0,0,false
0.000065,0.001097,0.006442,0.01193,0.022015,0.007845,0.005908,0.004779,0.003545,0.003311,0.003561,0.003727,0.003623,0.004736,0.004919,0.004827,0.004951,0.005618,0.004303,0.002842,0.002448,0.002002,0.001598,0.001481,0.001442,0.001361,0.001234,0.001104,0.001048,0.001123,0.001204,0.001204,0.001497,0.002464,0.002839,0.003385,0.003496,0.003636,0.004147,0.004919,0.006673,0.008529,0.010247,0.012611,0.020085,0.018324,0.011898,0.005951,0.002148,0.00207,0.002155,0.002546,0.002321,0.002376,0.002425,0.002666,0.002266,0.001953,0.004622,0.006322,0.005583,0.005332,0.006019,0.006608,0.004489,0.002832,0.002858,0,0.001953,0.001937,0.001966,0.001969,0.001432,0.000693,0.000576,0.000618,0.000524,0.000544,0.000641,0.000648,0.001025,0.001305,0.072972,0.14494,0.172098,0.094367,0.125356,0.055846,0.002268,true
0.000007,0.000039,0.000098,0.000345,0.000811,0.002695,0.003389,0.003949,0.003574,0.003079,0.00278,0.002559,0.002637,0.003301,0.003493,0.003467,0.003737,0.003665,0.003262,0.003154,0.003099,0.003245,0.003249,0.002891,0.002572,0.002464,0.002327,0.00196,0.001494,0.001517,0.001048,0.000924,0.000719,0.000625,0.000618,0.00056,0.000469,0.000459,0.000459,0.000469,0.000557,0.000618,0.000843,0.001279,0.005566,0.006901,0.007389,0.00807,0.007734,0.007845,0.007585,0.006803,0.003503,0.002839,0.002402,0.002018,0.002347,0.002438,0.002324,0.001094,0.000924,0.001097,0.004036,0.017536,0.020033,0.004316,0.00389,0,0.001253,0.001292,0.001523,0.001595,0.001413,0.001523,0.003262,0.005085,0.005592,0.005247,0.005915,0.005413,0.002917,0.002783,0.018102,0.594417,0.18924,0,0,0,0,false
0.000472,0.001383,0.001266,0.001667,0.003216,0.003304,0.002939,0.001589,0.001191,0.001152,0.001335,0.001351,0.001224,0.00151,0.001309,0.001576,0.001829,0.002656,0.002607,0.002165,0.002041,0.001986,0.001908,0.001481,0.001647,0.001774,0.00235,0.002572,0.002712,0.002233,0.001768,0.002412,0.001895,0.001344,0.001276,0.001429,0.00165,0.001722,0.002044,0.00194,0.001585,0.000807,0.000778,0.00083,0.000869,0.00096,0.001058,0.001243,0.001227,0.00139,0.001286,0.001618,0.001878,0.002279,0.002373,0.002562,0.002412,0.001715,0.002751,0.002061,0.002396,0.002503,0.003252,0.002497,0.007887,0.018812,0.018639,0,0.013815,0.007357,0.00707,0.006344,0.007396,0.003535,0.003037,0.003135,0.003008,0.001715,0.00098,0.000042,0.000101,0.000101,0.000104,0,0.20887,0,0,0,0,false
0.000618,0.001436,0.001273,0.003271,0.005286,0.006911,0.007793,0.007591,0.008597,0.005944,0.004958,0.005062,0.005485,0.007344,0.006829,0.00543,0.006357,0.006315,0.005505,0.00557,0.005713,0.005436,0.004668,0.005814,0.007135,0.006055,0.005267,0.007777,0.007663,0.008307,0.007197,0.008112,0.009505,0.013923,0.014818,0.02012,0.025049,0.022891,0.018415,0.01972,0.021406,0.01474,0.015,0.014108,0.013307,0.012279,0.013034,0.012939,0.01138,0.007591,0.007305,0.004495,0.003991,0.003239,0.003073,0.003018,0.002829,0.0021,0.001169,0.000951,0.000687,0.000697,0.000661,0.000514,0.000335,0.00042,0.000439,0,0.000286,0.000254,0.000309,0.000247,0.000228,0.000247,0.00027,0.000228,0.000228,0.000247,0.000299,0.00026,0.000465,0.006888,0.01363,0,0.250282,0.054619,0.039528,0.019944,0.026184,false
0.000013,0.000042,0.00002,0.000046,0.000091,0.000775,0.001136,0.001937,0.004001,0.005358,0.005758,0.006706,0.009883,0.017435,0.018564,0.030993,0.031602,0.02807,0.023343,0.023503,0.019837,0.017061,0.01582,0.014033,0.008711,0.00807,0.007565,0.006598,0.007054,0.007484,0.006927,0.007002,0.006279,0.008298,0.00903,0.00888,0.008366,0.008747,0.009186,0.006784,0.00627,0.004613,0.003916,0.002513,0.000706,0.000612,0.000521,0.000615,0.000527,0.000605,0.000576,0.000505,0.000618,0.000602,0.000615,0.000661,0.00069,0.000843,0.001406,0.000778,0.000719,0.000687,0.000462,0.000352,0.000426,0.000352,0.000371,0.000514,0.000313,0.000498,0.000518,0.000537,0.000664,0.000892,0.000889,0.00097,0.000863,0.000859,0.001198,0.00098,0.000801,0.001732,0.183887,0,0,0.24737,0.005318,0.032077,0.037287,true
0.000339,0.002165,0.001868,0.001924,0.003363,0.000439,0.000319,0.000277,0.000221,0.00028,0.000397,0.000452,0.000592,0.001712,0.002253,0.003314,0.003867,0.005078,0.005241,0.005286,0.006312,0.006283,0.007015,0.008034,0.011351,0.010439,0.010176,0.005514,0.003232,0.002725,0.001768,0.001611,0.001406,0.001488,0.00154,0.001628,0.001543,0.001582,0.001774,0.001722,0.001663,0.001598,0.001797,0.001966,0.002467,0.002386,0.002311,0.002474,0.002581,0.002419,0.002321,0.002285,0.002982,0.003346,0.003402,0.004206,0.004759,0.005791,0.013617,0.006413,0.004287,0.004063,0.003604,0.002529,0.001865,0.001006,0.000638,0,0.00012,0.000088,0.000078,0.000101,0.000072,0.000055,0.000104,0.000042,0.000065,0.000055,0.000039,0.000052,0.000065,0.000098,0.002054,0,0.451623,0.065254,0.029649,0.103908,0.00653,false
0.001201,0.012793,0.010833,0.013659,0.011882,0.007243,0.006237,0.003805,0.003314,0.002048,0.001748,0.00166,0.001852,0.001807,0.00179,0.001442,0.00154,0.001559,0.001253,0.001367,0.001497,0.001488,0.001455,0.001273,0.001527,0.001553,0.001377,0.001611,0.001449,0.001432,0.001517,0.001484,0.001403,0.001484,0.001315,0.001449,0.001455,0.001403,0.001471,0.001706,0.001761,0.001764,0.001732,0.001589,0.001383,0.001442,0.001475,0.001702,0.002676,0.004157,0.005013,0.012663,0.016315,0.017142,0.016992,0.016628,0.013327,0.011803,0.005371,0.004974,0.003132,0.002962,0.003659,0.003177,0.004382,0.004411,0.003994,0,0.002741,0.002165,0.002269,0.002591,0.001396,0.000202,0.000137,0.00014,0.00014,0.000192,0.000143,0.000293,0.000436,0.003096,0.019635,0,0.020739,0.394212,0,0,0,false
0.000713,0.003252,0.003978,0.00445,0.007018,0.005218,0.004196,0.00208,0.001504,0.001813,0.002031,0.002096,0.002419,0.002712,0.002786,0.00207,0.001963,0.002288,0.001917,0.00194,0.002227,0.001885,0.00194,0.00179,0.002031,0.002028,0.002028,0.001833,0.001862,0.001885,0.002145,0.002181,0.003014,0.0036,0.003499,0.003766,0.003405,0.003545,0.003389,0.003288,0.003255,0.003229,0.003171,0.003262,0.004632,0.005085,0.005492,0.005465,0.006081,0.005723,0.005313,0.005355,0.004782,0.004294,0.00443,0.004759,0.005283,0.005358,0.010618,0.007568,0.008177,0.008643,0.010462,0.012331,0.0036,0.000557,0.000618,0,0.000446,0.000775,0.000739,0.000928,0.000651,0.000641,0.00054,0.000563,0.000511,0.000684,0.000752,0.000677,0.000661,0.000625,0.008441,0,0.262178,0.024682,0.055152,0.068137,0.000659,false
0.011637,0,0.019297,0,0.005514,0,0.001484,0.000993,0.000853,0,0.00068,0,0.000693,0.000713,0,0.000801,0,0.000928,0,0.001087,0,0.001146,0,0,0.001699,0,0,0.002406,0.002559,0,0.003516,0,0.003981,0.004352,0,0.004336,0,0.004564,0,0,0.005173,0.005,0,0,0.00404,0,0.003607,0,0.003024,0.003304,0,0.003294,0.003548,0,0.003356,0.003206,0,0.002699,0.005358,0,0.00305,0,0.004766,0,0,0.022116,0,0.022897,0.017676,0.015143,0,0.014925,0,0.026849,0.032021,0,0.019626,0,0,0,0.000042,0.000016,0.000007,0,0.830676,0,0,0,0,false
0.004137,0.020579,0.021396,0.019258,0.021875,0.011279,0.011016,0.011273,0.009066,0.006211,0.004821,0.004017,0.003743,0.00391,0.003405,0.003376,0.003864,0.004271,0.003929,0.003571,0.004163,0.003451,0.003971,0.003008,0.003327,0.003102,0.003203,0.003486,0.00417,0.004417,0.005143,0.005596,0.005091,0.004336,0.004427,0.004284,0.004336,0.004502,0.00473,0.005202,0.005313,0.00637,0.006807,0.007669,0.013844,0.013896,0.013945,0.01321,0.01181,0.011458,0.012116,0.011868,0.009284,0.006937,0.006006,0.004824,0.004202,0.003258,0.005872,0.002526,0.000316,0.000156,0.000133,0.000072,0.000033,0.000016,0.000046,0,0.000039,0.000013,0.000033,0.000029,0.000016,0.000026,0.000013,0.000016,0.000016,0.00002,0.000013,0.000036,0.000036,0.000065,0.003965,0.1396,0.467283,0.048384,0.124044,0.000016,0.037452,false
0.000078,0.000511,0.000833,0.000719,0.00096,0.001312,0.001602,0.00137,0.001536,0.001748,0.001387,0.001068,0.000944,0.001289,0.001159,0.000804,0.000924,0.001055,0.000911,0.001143,0.001214,0.001012,0.000876,0.000745,0.000811,0.000677,0.000791,0.000817,0.001087,0.001029,0.001683,0.001452,0.001536,0.001702,0.001725,0.00181,0.001947,0.002038,0.00222,0.002594,0.002868,0.00251,0.002738,0.001689,0.001735,0.001888,0.001901,0.002061,0.002334,0.002813,0.002865,0.001774,0.002962,0.003708,0.003275,0.002396,0.002148,0.00151,0.014909,0.005915,0.005059,0.004515,0.004069,0.002979,0.003034,0.005788,0.00611,0,0.014854,0.009232,0.00945,0.00904,0.005758,0.004766,0.003262,0.000264,0.000003,0.000003,0,0.000003,0.000029,0.000013,0.000322,0.060862,0.024944,0.001219,0.010775,0.048513,0.0369,false
0.000003,0.000059,0.000215,0.000924,0.002008,0.001107,0.001237,0.001312,0.001989,0.003734,0.003581,0.003538,0.004176,0.005495,0.005677,0.005726,0.005371,0.005579,0.005088,0.005046,0.006019,0,0.005947,0.005605,0.008415,0.008708,0.009063,0.011208,0.010107,0.011266,0.012233,0.013066,0.015303,0.017985,0.019398,0.019655,0.018717,0.016387,0.014684,0.011029,0.010208,0.00766,0.007923,0.006569,0.005677,0.005798,0.005918,0.006484,0.006992,0.008249,0.008258,0.009437,0,0.006022,0.005547,0.004997,0.005651,0.005531,0.002295,0.001224,0.000781,0.000765,0.000811,0.000983,0.000941,0.001497,0.00152,0.001159,0.001188,0.001162,0.001253,0.001146,0.000967,0.001172,0,0.000944,0.000928,0.001016,0.001022,0.001361,0.001569,0.00068,0.000003,0,0,0.28485,0.276871,0.000695,0.032092,false
0.00304,0.007975,0.008896,0.010335,0.012565,0.010179,0.010723,0.009017,0.007907,0.008298,0.008089,0.008512,0.009089,0.01278,0.012881,0.014681,0.015833,0.016797,0.017054,0.015703,0.016214,0.014941,0.013477,0.010944,0.008574,0.007227,0.005745,0.004707,0.004873,0.004977,0.005133,0.005638,0.006572,0.007139,0.006693,0.006699,0.006501,0.005869,0.00582,0.006305,0.006182,0.006292,0.006211,0.00596,0.005641,0.005732,0.004837,0.004567,0.003496,0.003643,0.003392,0.003118,0.002568,0.002516,0.002679,0.002575,0.002594,0.002845,0.001774,0.001344,0.001165,0.001266,0.001123,0.0011,0.000921,0.000768,0.000703,0,0.000755,0.000625,0.000658,0.000664,0.000579,0.000592,0.000537,0.000537,0.000566,0.000462,0.000524,0.000586,0.000817,0.00112,0.069655,0,0.13962,0.121682,0.05684,0.073994,0.055593,false
